name,discipline,region,vertical,years_experience,seniority,domain,communication,timezone,bandwidth,availability_status,available_in_weeks
Rhonda Gutierrez,Other,APAC,E-commerce,12,45,34,26,37,42,Available,0
Catherine Roberts,Backend,EMEA,EdTech,18,82,50,61,68,49,Available,0
Lisa Nelson,Other,EMEA,Media,13,60,24,78,32,18,Partially committed,4
Chelsea Smith,AI / ML,APAC,Gaming,15,65,57,48,20,71,Available,0
Joseph Lopez,Cloud,Americas,Government,11,63,68,52,83,75,Available,0
Derrick Espinoza,Frontend,EMEA,Telecom,17,73,89,54,63,41,Available,0
Crystal Hernandez,Data / Database,APAC,Logistics,13,54,47,51,36,99,Partially committed,1
Glenn Collins DDS,AI / ML,Americas,Media,7,24,49,29,87,76,Available,0
Mrs. Raven Rivera DVM,AI / ML,Americas,Gaming,9,58,16,61,76,49,Partially committed,4
Amy Rowe,Backend,EMEA,Gaming,7,37,59,46,50,48,Partially committed,1
John Lee,Backend,Americas,Government,7,39,49,56,76,42,Available,0
Ruth Clayton,Networking,APAC,Telecom,14,62,40,41,18,42,Available,0
Randy Wright,DevOps,Americas,Government,18,75,68,58,72,49,Partially committed,2
Jessica Rojas,AI / ML,EMEA,Media,14,50,43,47,44,55,Available,0
Joel Wise,Networking,APAC,Other,11,56,37,59,31,27,Available,0
Vickie Kennedy,AI / ML,Americas,SaaS,18,84,58,56,83,77,Partially committed,4
Emily Morris,Frontend,Americas,SaaS,14,55,32,65,73,71,Partially committed,4
Amanda Pineda,Frontend,Americas,SaaS,23,99,71,91,65,84,Available,0
Dawn Little,Frontend,APAC,Other,16,61,35,42,24,61,Available,0
Stephen Boyer,AI / ML,Americas,Media,4,15,20,26,97,83,Available,0
Brian Chen,Data / Database,EMEA,FinTech,12,65,32,50,55,28,Partially committed,2
Christopher Hill,Frontend,APAC,Telecom,10,58,53,91,36,67,Partially committed,4
Richard Smith,Backend,APAC,Healthcare,14,76,38,57,30,15,Available,0
Richard Alvarez,Backend,Americas,Healthcare,15,63,30,80,81,34,Partially committed,1
Jacqueline Davis,Networking,APAC,Gaming,13,47,37,31,13,99,Available,0
Brandon Montgomery,Cloud,EMEA,Other,9,26,41,24,51,53,Partially committed,3
Yolanda Garrett,Cloud,APAC,SaaS,12,46,28,38,23,56,Available,0
Matthew Miles,Frontend,EMEA,E-commerce,10,33,25,30,70,73,Partially committed,4
Beth Hall,AI / ML,Americas,Gaming,7,38,68,40,84,57,Partially committed,3
Dr. Nicole Trujillo,Backend,APAC,Logistics,11,62,32,46,41,33,Partially committed,1
Corey Norris,DevOps,EMEA,Government,20,83,50,55,66,30,Available,0
Chad Roach,Frontend,Americas,Healthcare,14,58,41,70,74,71,Partially committed,2
Mr. Edward Terry,Frontend,EMEA,Media,6,26,31,55,55,66,Available,0
Cody Bailey,Frontend,APAC,SaaS,14,59,55,68,45,71,Fully booked,12
Denise Guerra,DevOps,APAC,Healthcare,17,74,64,69,34,63,Available,0
Kristen Jones,DevOps,EMEA,FinTech,11,38,39,45,60,59,Partially committed,4
Edward Baker,Frontend,Americas,EdTech,13,47,28,42,91,57,Available,0
Aaron Little,Backend,Americas,Gaming,12,50,63,37,87,58,Available,0
Cody Smith,AI / ML,Americas,Government,9,34,40,47,87,51,Available,0
Patty Allen,Frontend,Americas,Healthcare,15,63,72,40,85,47,Available,0
Mary Ryan,Backend,EMEA,EdTech,10,48,10,35,52,66,Available,0
Joseph Jimenez,Data / Database,APAC,E-commerce,14,58,50,70,17,83,Available,0
Lisa Morris,AI / ML,EMEA,Logistics,4,32,62,68,36,26,Available,0
Ashley Mills,Backend,APAC,Healthcare,11,41,39,51,25,99,Partially committed,3
Russell Anderson,Other,APAC,Logistics,12,64,41,73,32,67,Available,0
Christina Washington,Backend,EMEA,SaaS,10,43,46,43,57,66,Partially committed,2
Kenneth Huff,Backend,EMEA,Government,17,85,43,49,61,29,Partially committed,2
Kelly Miles,Frontend,Americas,FinTech,10,42,38,55,81,43,Partially committed,4
Jacob Obrien,Cloud,APAC,Gaming,12,54,40,60,55,67,Available,0
Timothy Clark,Backend,Americas,SaaS,12,69,36,60,99,58,Available,0
Steve Miller PhD,DevOps,Americas,EdTech,6,22,54,32,67,35,Available,0
Justin Hurley,Backend,EMEA,FinTech,2,15,39,46,62,45,Available,0
Jacob Erickson,Backend,Americas,Healthcare,6,19,41,21,92,47,Available,0
Deborah Williams,AI / ML,Americas,Gaming,17,75,61,52,61,35,Partially committed,3
Eric Blackburn,Cloud,Americas,Government,9,39,38,30,84,63,Partially committed,4
Anne Hardy,Frontend,EMEA,Government,20,99,43,76,60,27,Available,0
Chelsey Fox,DevOps,Americas,Healthcare,7,39,30,29,82,74,Partially committed,1
Mario White,DevOps,Americas,Other,11,54,43,42,86,26,Partially committed,2
Jennifer Garcia,Frontend,EMEA,FinTech,20,81,39,56,56,70,Available,0
Heather Ellis,Data / Database,EMEA,Media,23,90,51,66,62,99,Partially committed,3
Sonya Jackson,Backend,EMEA,Government,19,91,45,50,70,64,Partially committed,4
James Morgan,Data / Database,APAC,SaaS,19,74,82,63,36,41,Partially committed,2
Zachary Ramos,Networking,EMEA,Gaming,11,70,5,78,67,42,Fully booked,11
Ethan Frey,Frontend,APAC,E-commerce,11,62,41,58,17,31,Available,0
Jacob Duran,Frontend,EMEA,Government,13,66,69,79,75,75,Partially committed,4
Nicholas Franklin,Backend,EMEA,Media,6,39,39,63,58,61,Partially committed,3
Cindy Cannon,Other,EMEA,SaaS,4,34,46,53,51,23,Partially committed,1
Dawn Nixon,Cloud,APAC,Media,12,50,46,51,32,27,Available,0
James Barber,Frontend,Americas,Gaming,10,47,33,49,77,21,Available,0
Ms. Kelly Holder,Data / Database,EMEA,Other,10,41,10,56,56,73,Available,0
Eric Walker,Backend,APAC,Healthcare,16,64,52,51,31,33,Available,0
Alison Short,DevOps,EMEA,SaaS,16,69,38,33,48,69,Partially committed,1
Desiree Spencer,Data / Database,Americas,Healthcare,13,52,34,58,84,44,Available,0
Tammy Moore,Other,APAC,Gaming,18,80,44,49,21,66,Partially committed,1
Henry Taylor,Backend,EMEA,E-commerce,4,27,59,25,48,55,Available,0
Kevin Hall,DevOps,EMEA,Media,12,46,79,48,45,76,Available,0
Anna Ross,Cloud,EMEA,Other,7,36,41,42,51,43,Partially committed,4
Morgan Cummings,Networking,Americas,Gaming,1,13,25,12,76,48,Available,0
Carrie Petersen,Data / Database,APAC,Healthcare,10,48,26,51,33,47,Partially committed,2
Laura Velez,Cloud,EMEA,Government,9,48,47,62,66,73,Available,0
Elizabeth Cross,Backend,EMEA,Other,17,80,75,49,62,29,Partially committed,1
Angela Brown,Data / Database,APAC,EdTech,15,63,44,74,38,42,Available,0
Hannah Montoya,AI / ML,Americas,Media,7,30,5,18,91,55,Available,0
Sean Kane,Other,Americas,Telecom,18,87,60,98,73,57,Available,0
Matthew Guzman,Cloud,Americas,E-commerce,16,74,62,56,79,44,Partially committed,1
Richard Reyes,Backend,Americas,Other,16,62,27,58,99,65,Available,0
Andrew Fernandez,Networking,Americas,SaaS,11,45,46,21,77,42,Available,0
Jonathan Walker,Frontend,EMEA,Other,11,31,50,40,74,79,Partially committed,1
Nicholas Long,Frontend,EMEA,EdTech,12,43,43,49,51,72,Available,0
Kurt Wagner,Cloud,EMEA,Logistics,18,72,41,60,35,40,Partially committed,1
Dylan Foster,Backend,APAC,EdTech,17,88,64,61,26,63,Partially committed,3
Bradley Duncan,Other,Americas,Telecom,19,81,48,52,90,28,Available,0
James Miller,Data / Database,APAC,EdTech,9,40,20,61,45,61,Available,0
Patricia Anderson,Data / Database,Americas,EdTech,5,28,7,39,67,44,Available,0
Justin Freeman,Cloud,Americas,Media,12,53,62,73,90,62,Available,0
Christina Gilbert,Networking,APAC,Other,5,15,45,25,37,59,Available,0
Danielle Jones,Data / Database,EMEA,Healthcare,14,56,47,47,68,40,Partially committed,3
Erica Glass,Backend,APAC,Logistics,9,47,34,60,1,25,Available,0
Michael Henderson,Networking,EMEA,SaaS,11,41,35,23,72,53,Available,0
Frank Wheeler,Backend,Americas,E-commerce,3,18,18,17,86,86,Available,0
Eric Huerta,Frontend,EMEA,SaaS,14,60,41,71,60,60,Partially committed,2
Wanda Ramos,DevOps,Americas,SaaS,8,39,10,28,92,27,Available,0
Andrew Meyers,Frontend,Americas,E-commerce,5,27,26,13,62,55,Available,0
James Todd,Other,EMEA,Telecom,2,0,27,51,65,89,Partially committed,3
Ashley Brown,DevOps,Americas,E-commerce,9,49,49,30,99,50,Available,0
Tammy Melton,Other,EMEA,Healthcare,23,85,57,70,41,30,Available,0
Alexis Benson,Backend,APAC,FinTech,15,83,59,68,27,85,Available,0
Jerry Johnson,Other,Americas,Other,8,41,58,6,82,36,Available,0
Joshua Harris,Frontend,Americas,FinTech,9,38,56,40,86,54,Available,0
Deanna Webb,Frontend,APAC,Gaming,14,59,54,61,32,42,Available,0
Brenda Hale,Frontend,Americas,Gaming,6,30,38,45,75,73,Available,0
Kevin Alvarado,Data / Database,APAC,Telecom,12,56,31,66,28,64,Available,0
Christopher Campbell,Frontend,APAC,SaaS,15,65,59,52,45,35,Partially committed,3
Lisa Brown,Data / Database,Americas,Gaming,16,75,73,72,86,37,Available,0
Alejandra Price,Backend,APAC,Media,13,48,51,39,32,59,Partially committed,3
Samuel Keller,Backend,APAC,Government,12,46,71,28,21,61,Available,0
Alicia Dillon,DevOps,APAC,Logistics,9,32,19,23,41,55,Partially committed,4
Crystal James,Frontend,Americas,Telecom,6,33,20,21,80,53,Partially committed,3
Ariana Stewart,Networking,APAC,Media,10,45,54,62,7,32,Partially committed,4
Kim Lopez,DevOps,EMEA,FinTech,12,57,48,32,59,92,Available,0
Judith House,AI / ML,EMEA,EdTech,13,68,64,63,62,65,Available,0
David Moreno,Backend,APAC,Healthcare,8,34,40,38,25,59,Available,0
James Moore,Other,EMEA,Telecom,17,80,38,63,33,70,Available,0
Harold Garrett,DevOps,Americas,Other,11,45,40,66,71,53,Available,0
William Mason,Other,APAC,Logistics,9,50,19,44,27,40,Available,0
Lori Johns,Frontend,Americas,Logistics,11,35,28,51,78,66,Available,0
Robin Johnson,Cloud,EMEA,Government,0,2,44,26,59,68,Available,0
Diana Hernandez,Networking,EMEA,Government,15,68,61,57,61,86,Available,0
Mary Miller,Frontend,EMEA,Gaming,16,65,54,90,51,38,Available,0
Tyler Salazar,DevOps,EMEA,EdTech,9,44,16,27,41,38,Available,0
Crystal Allen,Networking,Americas,Government,13,51,41,69,97,98,Available,0
Wesley Browning,DevOps,APAC,FinTech,11,60,26,64,34,78,Partially committed,4
Joshua Clark,Frontend,Americas,E-commerce,7,19,55,28,89,74,Available,0
Joshua Mcbride,Cloud,APAC,Telecom,9,39,32,68,32,44,Partially committed,3
Ellen Thornton,Frontend,EMEA,FinTech,13,66,31,32,66,61,Available,0
Brandy Forbes,Networking,EMEA,Other,5,25,36,30,51,35,Partially committed,4
Brianna Fitzpatrick,Frontend,EMEA,EdTech,14,56,38,36,63,45,Available,0
Emily Grant,Frontend,EMEA,Media,4,23,55,42,62,38,Partially committed,1
Bailey Stewart,Backend,Americas,Government,12,59,34,39,88,39,Available,0
Monica Cannon,DevOps,APAC,Gaming,11,49,23,56,16,32,Partially committed,2
Jennifer Jenkins,Other,APAC,Media,2,18,2,31,29,76,Available,0
Timothy Shannon,Frontend,EMEA,Other,20,73,53,55,59,87,Partially committed,3
Denise Maxwell,Frontend,Americas,Gaming,7,35,30,48,99,78,Available,0
Cody Farmer,Backend,EMEA,Telecom,9,34,21,38,56,74,Partially committed,3
Debra Bradley,Networking,APAC,Healthcare,12,54,62,37,39,48,Partially committed,2
David Mcdaniel,Data / Database,APAC,Government,14,73,56,99,13,56,Partially committed,3
Michael Woods,Backend,Americas,Media,7,30,38,33,75,38,Available,0
Lisa Joseph,DevOps,APAC,SaaS,13,51,65,20,32,30,Available,0
Samuel Henry,Backend,Americas,E-commerce,13,59,54,42,86,25,Available,0
Corey Johnson,Data / Database,EMEA,Gaming,17,64,38,39,48,29,Partially committed,3
Alexis Nelson,Backend,EMEA,Healthcare,14,54,32,63,65,69,Available,0
Patrick Mcneil,Networking,Americas,E-commerce,11,43,55,51,80,73,Partially committed,2
Andrea Ho,AI / ML,EMEA,Logistics,7,33,43,47,53,41,Available,0
Dr. Katherine Nguyen,Cloud,Americas,FinTech,9,52,44,46,81,61,Available,0
David Sullivan,Data / Database,EMEA,Healthcare,5,29,24,35,68,83,Available,0
Nicolas James,Data / Database,EMEA,E-commerce,0,0,39,20,66,62,Available,0
Logan Newton,Frontend,APAC,Government,14,59,36,53,47,39,Partially committed,4
Kelly Liu,Cloud,APAC,Logistics,11,68,42,71,34,44,Available,0
Kelly Hayes,DevOps,Americas,SaaS,1,3,51,31,99,93,Available,0
Amanda Forbes,AI / ML,EMEA,EdTech,7,30,29,47,57,58,Partially committed,1
Jennifer Moss,Backend,EMEA,EdTech,13,62,24,63,54,96,Available,0
Kelli Mccoy,Cloud,EMEA,FinTech,23,91,43,83,51,35,Partially committed,4
Eddie Sanders,Cloud,APAC,Gaming,12,50,58,54,26,46,Available,0
Ronald Murray,Backend,Americas,FinTech,10,35,46,48,81,30,Partially committed,1
Louis Brown,Cloud,Americas,Logistics,10,46,40,65,75,78,Available,0
Brenda Gallegos,AI / ML,Americas,SaaS,19,77,46,54,76,53,Partially committed,2
Nathan Wilson,AI / ML,EMEA,EdTech,12,37,51,32,61,40,Available,0
Teresa Horton,Cloud,Americas,EdTech,10,34,30,25,77,52,Available,0
Jason Hayes,Frontend,APAC,Telecom,7,40,42,48,11,67,Partially committed,4
Kevin Marquez,AI / ML,APAC,Other,6,31,27,15,10,43,Available,0
Jesse Wright,Cloud,Americas,Media,11,52,31,58,61,62,Partially committed,4
Susan Hogan,Backend,EMEA,Logistics,19,82,44,65,41,68,Available,0
Becky Wilson,Backend,APAC,Logistics,14,56,41,69,16,46,Available,0
Jack Mills,Frontend,APAC,Gaming,8,45,39,38,18,20,Available,0
Richard Hunt,Frontend,EMEA,Logistics,10,44,45,44,58,52,Available,0
Jamie James,Cloud,EMEA,Telecom,0,19,0,50,42,52,Available,0
Susan Cunningham,Backend,Americas,Other,18,68,40,78,73,28,Available,0
Brittany Melton,Frontend,APAC,SaaS,10,48,36,40,10,68,Partially committed,1
Michael Barnes,Backend,APAC,Healthcare,10,46,64,51,21,69,Available,0
Randy Griffin,Data / Database,Americas,EdTech,21,99,41,79,89,51,Available,0
Autumn Anderson,Frontend,Americas,Logistics,15,56,50,58,82,46,Available,0
Marcus King,Frontend,APAC,Media,2,35,53,39,29,61,Partially committed,1
Scott Stephens,Backend,APAC,Logistics,9,41,23,64,28,44,Available,0
Stephen Young,Cloud,EMEA,E-commerce,16,73,55,35,42,65,Fully booked,4
Karen Ortiz,Frontend,EMEA,Media,11,52,32,45,51,47,Available,0
Kyle Sanchez,DevOps,APAC,Government,8,21,33,42,30,56,Available,0
Lisa Grant,Frontend,APAC,Logistics,13,68,35,66,38,49,Available,0
Amber Hernandez,Backend,EMEA,Logistics,10,37,31,62,59,99,Available,0
Amanda Nash,Backend,Americas,Gaming,20,87,92,86,91,29,Partially committed,1
Sara Evans,Frontend,Americas,E-commerce,18,72,64,57,71,43,Available,0
Amber Butler,Frontend,APAC,Healthcare,8,41,55,64,13,25,Available,0
Michael Carr,Backend,APAC,Logistics,15,76,55,53,10,56,Available,0
Linda Cobb,Backend,EMEA,SaaS,14,51,24,64,63,90,Available,0
Jesse Riley,Cloud,APAC,Healthcare,16,67,54,84,14,48,Partially committed,1
Anna Evans,Frontend,Americas,EdTech,10,60,57,72,93,41,Partially committed,3
James Jones,AI / ML,EMEA,Healthcare,6,33,26,43,51,58,Available,0
Joshua Carter,Networking,EMEA,Media,9,37,54,39,72,79,Available,0
Michael Hill,Networking,Americas,SaaS,17,71,61,39,78,80,Partially committed,2
Kelly Dominguez,Backend,Americas,Telecom,8,43,66,51,78,36,Available,0
Ashley Blair,Networking,EMEA,Gaming,3,42,28,30,56,71,Partially committed,1
Victoria Webb,Backend,APAC,SaaS,8,31,24,29,24,57,Available,0
Taylor Andersen,Frontend,Americas,EdTech,11,58,38,38,86,83,Available,0
Lee Stewart,Frontend,EMEA,E-commerce,16,91,70,64,45,94,Partially committed,4
Whitney Gomez,AI / ML,APAC,Telecom,1,29,5,39,30,96,Available,0
Justin Stone,Backend,APAC,EdTech,13,50,16,54,20,36,Partially committed,4
Katherine White,AI / ML,EMEA,EdTech,18,78,52,56,53,34,Available,0
Michelle Krause,Backend,Americas,Government,10,48,36,64,68,90,Partially committed,4
Alexander Garrett,AI / ML,APAC,Gaming,16,59,49,52,37,52,Available,0
Ryan Marsh,AI / ML,Americas,FinTech,8,29,52,28,78,44,Available,0
Mrs. Felicia Castro DDS,AI / ML,EMEA,Other,16,59,42,57,64,27,Partially committed,1
Curtis Campbell,Data / Database,Americas,Government,7,46,13,76,75,59,Available,0
Elizabeth Hunter,AI / ML,APAC,Telecom,15,70,77,65,28,44,Partially committed,2
Aaron Jennings,Other,EMEA,Healthcare,13,74,32,57,64,59,Fully booked,4
Nathaniel Gilbert,Backend,APAC,FinTech,22,99,41,53,16,51,Partially committed,3
Christopher Rivera,Data / Database,APAC,Media,13,62,61,53,19,29,Partially committed,1
Michael Hendricks,Cloud,EMEA,FinTech,14,57,41,57,63,38,Partially committed,1
Maria Olson,Backend,EMEA,Government,12,54,44,47,68,74,Available,0
Stephanie Herrera,Cloud,Americas,Government,11,43,50,23,82,78,Partially committed,3
Richard Gutierrez,Frontend,EMEA,Government,14,57,62,41,45,47,Available,0
Sandy Evans,Data / Database,Americas,Logistics,14,44,42,67,79,61,Partially committed,2
Emily Herrera,Frontend,EMEA,Logistics,11,53,65,72,75,34,Available,0
Michael Marsh,Backend,APAC,FinTech,15,76,18,51,15,50,Available,0
Heather Montes,Backend,Americas,Government,7,30,49,49,87,82,Available,0
Andre Terrell,Networking,EMEA,Gaming,15,73,36,45,56,85,Partially committed,1
Sarah Duncan,Backend,Americas,E-commerce,20,76,73,83,70,49,Available,0
Kurt Hancock,Networking,Americas,Other,10,48,44,52,79,50,Available,0
Michele Edwards,Networking,Americas,Healthcare,1,8,21,42,64,35,Available,0
Jason Crawford,Data / Database,APAC,Other,7,38,48,20,31,46,Available,0
Jesse Sampson,Backend,EMEA,Gaming,18,76,64,72,59,50,Available,0
Eric Rodriguez,Backend,EMEA,Gaming,11,50,52,50,41,53,Available,0
Paula Gentry,Data / Database,Americas,Healthcare,5,30,22,52,88,48,Partially committed,4
Alexander Webb,Frontend,EMEA,Media,12,40,38,58,48,81,Available,0
Cheryl Mclean,DevOps,APAC,Logistics,13,67,46,59,20,61,Partially committed,4
Kelly Rowe,Other,Americas,FinTech,14,61,46,47,72,51,Available,0
Shane Short,Frontend,APAC,E-commerce,11,45,54,59,35,70,Available,0
Megan Anderson,DevOps,APAC,SaaS,6,43,9,45,11,57,Available,0
Julia Reeves,Other,EMEA,Healthcare,10,42,47,34,39,88,Partially committed,1
April Randolph,AI / ML,EMEA,Government,5,32,32,28,49,43,Available,0
Linda Miller,AI / ML,Americas,Other,20,82,42,45,76,57,Partially committed,2
Angel Meyer,Networking,APAC,Gaming,8,44,29,40,34,15,Partially committed,4
Emily Lane,Backend,EMEA,SaaS,18,74,48,78,54,44,Available,0
Steven Flores,AI / ML,Americas,Other,20,80,4,68,81,53,Available,0
Donald Flores,Other,Americas,Healthcare,17,70,41,53,66,46,Partially committed,4
Bruce Hernandez,Data / Database,EMEA,Other,10,41,29,57,53,35,Partially committed,3
Adrian Dean,Backend,APAC,FinTech,12,58,52,42,4,41,Partially committed,2
Christine Bell,Data / Database,Americas,EdTech,10,50,31,51,84,36,Partially committed,1
Charles Bush,Backend,EMEA,Healthcare,10,32,39,38,62,57,Available,0
David Jones,Backend,Americas,SaaS,11,56,65,64,74,70,Partially committed,3
Gina Wallace,DevOps,EMEA,Government,4,26,48,16,59,53,Available,0
John Lowe,DevOps,Americas,Gaming,18,74,64,50,78,88,Available,0
Anthony Simmons,Data / Database,APAC,Healthcare,7,41,32,22,40,62,Available,0
Kyle Watkins,Frontend,Americas,Government,10,54,50,48,84,14,Partially committed,3
Melissa Jensen,Networking,EMEA,Telecom,9,56,38,70,45,62,Partially committed,3
Robert Marquez,Frontend,EMEA,Healthcare,9,45,38,40,67,56,Available,0
Kim Beltran,Frontend,EMEA,Media,14,62,52,49,63,81,Available,0
Julie Anderson,DevOps,APAC,Logistics,9,41,33,57,24,57,Available,0
Tamara Mcdonald,Backend,EMEA,Media,17,67,71,74,60,48,Fully booked,9
Michael Mckinney,Frontend,EMEA,Other,6,23,35,35,60,99,Available,0
David Walker,Backend,APAC,Other,11,53,52,61,24,13,Available,0
Lisa Durham,Networking,EMEA,SaaS,19,89,74,54,56,42,Partially committed,2
Michael Ortega,DevOps,EMEA,FinTech,8,30,54,59,57,65,Partially committed,2
Sonya Chavez,Backend,APAC,Healthcare,11,36,23,73,21,50,Partially committed,2
John Bell,Backend,Americas,Government,14,60,53,62,95,12,Partially committed,1
Christopher Tate,DevOps,EMEA,Government,11,54,55,23,35,63,Partially committed,2
Bethany Garcia,AI / ML,Americas,Media,11,57,55,46,89,45,Partially committed,3
Rebecca Nguyen,DevOps,APAC,EdTech,10,60,27,63,16,51,Available,0
Rebecca Patel,Networking,EMEA,E-commerce,15,63,39,50,53,79,Available,0
Jason Oliver,Data / Database,EMEA,Logistics,17,72,65,79,39,58,Partially committed,4
Valerie Reyes,Cloud,APAC,Telecom,14,58,36,62,15,42,Available,0
Robert Garza,AI / ML,EMEA,SaaS,10,45,38,38,54,65,Partially committed,1
Jessica Cobb,Networking,Americas,Other,17,63,72,57,83,45,Available,0
Cynthia Bates,AI / ML,Americas,Logistics,19,88,52,56,93,43,Available,0
Timothy Andrews,Data / Database,APAC,Logistics,12,47,35,46,24,72,Available,0
Mr. Joel Peters,AI / ML,EMEA,Government,7,31,26,32,61,47,Available,0
Casey Blanchard,DevOps,EMEA,Telecom,15,72,52,78,55,63,Available,0
Brian Cervantes,AI / ML,APAC,E-commerce,12,48,25,78,34,52,Available,0
Jamie Snyder,Frontend,Americas,Other,2,7,29,8,71,54,Partially committed,1
Ann Montoya,Cloud,Americas,FinTech,16,67,53,32,83,43,Partially committed,1
Stephanie Fields,AI / ML,APAC,EdTech,9,39,59,41,32,46,Available,0
Charles Hernandez,Frontend,EMEA,SaaS,11,48,52,28,50,58,Available,0
Jean Lane,Cloud,Americas,Healthcare,17,57,41,54,86,49,Available,0
Michael Stewart,Networking,EMEA,Gaming,14,54,64,62,60,83,Available,0
Susan Torres,Backend,Americas,SaaS,16,64,45,78,77,36,Partially committed,3
Jessica Haas,Data / Database,EMEA,FinTech,9,41,24,48,63,68,Available,0
Brandon Smith,DevOps,Americas,Logistics,15,60,46,52,59,77,Available,0
Mrs. Bethany Phillips,Data / Database,EMEA,SaaS,11,45,63,20,36,91,Partially committed,2
Joshua Brown,Frontend,APAC,EdTech,14,65,50,58,18,37,Available,0
Samantha Howard,Frontend,Americas,Telecom,13,62,46,57,85,74,Available,0
Sharon Young,Frontend,APAC,EdTech,7,31,61,50,20,63,Available,0
Jennifer Flores,Backend,Americas,FinTech,10,72,21,51,69,73,Partially committed,3
James Gardner,Backend,Americas,EdTech,9,39,23,39,81,45,Partially committed,4
Karen Lopez,Cloud,Americas,Gaming,14,66,24,37,83,51,Partially committed,2
Tim Larsen,DevOps,EMEA,FinTech,16,57,54,22,49,47,Partially committed,4
Zachary Santiago,Networking,Americas,Telecom,19,87,56,53,70,40,Available,0
Benjamin Smith,Frontend,APAC,Telecom,8,46,61,26,28,58,Available,0
Katelyn Kim,Data / Database,EMEA,Logistics,9,43,45,51,63,99,Partially committed,1
Angela May MD,Backend,EMEA,Logistics,9,50,35,43,43,69,Partially committed,1
Richard Munoz,AI / ML,Americas,Other,11,44,43,39,98,50,Available,0
Christopher Hicks,Cloud,EMEA,FinTech,15,66,50,44,49,47,Available,0
Joanna Kelly,AI / ML,Americas,Telecom,6,18,14,0,76,73,Partially committed,3
Larry Lane,Frontend,APAC,FinTech,5,29,74,61,29,56,Available,0
Cynthia Shaw,Cloud,EMEA,Logistics,6,29,45,25,56,56,Available,0
Joshua Richardson,DevOps,EMEA,Telecom,13,69,48,54,33,30,Available,0
Laura Bush,Networking,APAC,Telecom,20,84,63,47,27,49,Available,0
John Vaughn,Data / Database,APAC,Gaming,12,48,54,63,34,6,Available,0
Nicholas Terrell,DevOps,Americas,Media,11,47,42,50,92,21,Available,0
Dr. Julie Miller,Frontend,EMEA,Healthcare,11,51,35,39,54,49,Partially committed,2
Ann Kennedy,Cloud,APAC,Healthcare,17,73,59,56,24,65,Available,0
Toni Miller,Backend,EMEA,Government,10,31,48,64,62,92,Available,0
Rebecca Edwards,Frontend,APAC,Telecom,12,55,33,51,46,63,Partially committed,1
Greg Osborne,Frontend,EMEA,FinTech,16,70,69,57,56,63,Available,0
Jose Harrison,Other,APAC,Government,11,60,48,42,26,56,Available,0
Jennifer Yu,Backend,EMEA,Gaming,10,54,52,25,68,72,Partially committed,3
Donna Johnson,AI / ML,Americas,Logistics,16,70,68,58,71,57,Available,0
Nicole Acosta,Other,EMEA,Government,2,0,33,30,56,72,Available,0
Amy Kennedy,Other,Americas,Media,14,64,51,72,99,22,Available,0
Anthony Mooney,AI / ML,Americas,Media,8,37,51,12,87,64,Available,0
Lori Mitchell,AI / ML,Americas,Media,2,13,22,16,90,63,Partially committed,4
Jonathan York,Backend,EMEA,EdTech,12,60,46,47,52,46,Partially committed,3
Casey Campbell,Frontend,EMEA,Logistics,18,77,53,64,61,44,Available,0
Alexis Rodriguez,DevOps,Americas,Gaming,8,47,26,47,94,30,Partially committed,2
Kevin Hernandez,Data / Database,APAC,Government,18,69,84,58,13,63,Available,0
Robert Green,Frontend,EMEA,Healthcare,17,82,31,72,54,55,Partially committed,2
Kari Lloyd,Cloud,EMEA,Government,18,76,34,51,58,53,Partially committed,2
Grace Miller,DevOps,EMEA,Media,16,83,67,79,54,55,Partially committed,1
Timothy Moore,AI / ML,EMEA,Government,16,65,59,63,50,28,Available,0
Wyatt Townsend II,DevOps,Americas,Gaming,13,52,31,46,96,91,Partially committed,3
Mark Clark,DevOps,APAC,SaaS,5,18,44,56,30,81,Available,0
Haley May,Data / Database,APAC,Government,8,45,60,69,21,69,Available,0
Audrey Jackson,Data / Database,APAC,Other,8,33,39,55,38,89,Available,0
Eric Reese,Other,APAC,Gaming,18,93,88,29,42,52,Partially committed,4
Kim James,Frontend,Americas,Telecom,10,46,18,70,93,51,Available,0
Karen Thomas,Data / Database,EMEA,Healthcare,14,52,56,62,51,61,Available,0
Alexandra Ho,Cloud,EMEA,Media,15,61,65,84,51,84,Available,0
Michael Nixon,Data / Database,Americas,Other,11,51,56,68,72,38,Available,0
Amanda Hardin,Backend,EMEA,Telecom,17,84,47,89,58,80,Available,0
Tina Reynolds,Backend,Americas,Government,10,38,37,56,93,31,Partially committed,2
Shannon Rogers,Backend,APAC,Gaming,12,54,51,71,34,66,Available,0
Brett Pena,Backend,Americas,Other,3,35,45,70,99,79,Available,0
Raymond Curry,AI / ML,EMEA,Media,7,24,47,40,36,74,Available,0
Leah Lee,Data / Database,EMEA,Government,8,38,55,22,56,79,Partially committed,3
Michael White,Backend,EMEA,SaaS,13,49,32,45,63,53,Partially committed,1
Megan Decker,Backend,APAC,Gaming,7,41,35,51,22,32,Partially committed,4
Brent Garcia,Frontend,Americas,EdTech,2,36,19,44,71,79,Available,0
Daniel Campbell,AI / ML,Americas,FinTech,5,22,31,18,70,98,Partially committed,4
Alexander Davis,Data / Database,EMEA,FinTech,11,48,58,26,56,53,Available,0
